#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Wed May 24 18:56:36 CEST 2023
#------------------------------------------------------
# Location    : Delfzijl
# Position    : (6.933787,53.327481)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
202305240000   1.1200
202305240010   1.1800
202305240020   1.2100
202305240030   1.2200
202305240040   1.2400
202305240050   1.2800
202305240100   1.3200
202305240110   1.3400
202305240120   1.3400
202305240130   1.3300
202305240140   1.3300
202305240150   1.3400
202305240200   1.3300
202305240210   1.3000
202305240220   1.2600
202305240230   1.2100
202305240240   1.1500
202305240250   1.1000
202305240300   1.0300
202305240310   0.9500
202305240320   0.8700
202305240330   0.7900
202305240340   0.7000
202305240350   0.6100
202305240400   0.5100
202305240410   0.4000
202305240420   0.3000
202305240430   0.2000
202305240440   0.1100
202305240450   0.0000
202305240500   -0.1000
202305240510   -0.2300
202305240520   -0.3400
202305240530   -0.4700
202305240540   -0.5800
202305240550   -0.7100
202305240600   -0.8200
202305240610   -0.9300
202305240620   -1.0400
202305240630   -1.1500
202305240640   -1.2500
202305240650   -1.3600
202305240700   -1.4500
202305240710   -1.5300
202305240720   -1.5800
202305240730   -1.6100
202305240740   -1.6300
202305240750   -1.6300
202305240800   -1.6300
202305240810   -1.5800
202305240820   -1.4900
202305240830   -1.3600
202305240840   -1.2200
202305240850   -1.0500
202305240900   -0.8600
202305240910   -0.6500
202305240920   -0.4300
202305240930   -0.2200
202305240940   -0.0500
202305240950   0.0800
202305241000   0.1900
202305241010   0.3000
202305241020   0.4100
202305241030   0.5500
202305241040   0.6600
202305241050   0.7600
202305241100   0.8500
202305241110   0.9400
202305241120   1.0000
202305241130   1.0500
202305241140   1.0900
202305241150   1.1500
202305241200   1.2200
202305241210   1.2800
202305241220   1.3100
202305241230   1.3300
202305241240   1.3600
202305241250   1.4200
202305241300   1.4700
202305241310   1.5100
202305241320   1.5200
202305241330   1.5200
202305241340   1.5300
202305241350   1.5500
202305241400   1.5300
202305241410   1.5000
202305241420   1.4600
202305241430   1.4100
202305241440   1.3600
202305241450   1.3000
202305241500   1.2200
202305241510   1.1400
202305241520   1.0700
202305241530   0.9800
202305241540   0.8900
202305241550   0.7800
202305241600   0.6700
202305241610   0.5700
202305241620   0.4700
202305241630   0.3700

