#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Wed May 24 18:55:13 CEST 2023
#------------------------------------------------------
# Location    : Den Helder
# Position    : (4.745326,52.965441)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
202305240000   -0.3700
202305240010   -0.4300
202305240020   -0.4900
202305240030   -0.5500
202305240040   -0.6000
202305240050   -0.6500
202305240100   -0.6900
202305240110   -0.7300
202305240120   -0.7600
202305240130   -0.7800
202305240140   -0.8000
202305240150   -0.8200
202305240200   -0.8300
202305240210   -0.8500
202305240220   -0.8700
202305240230   -0.8700
202305240240   -0.8800
202305240250   -0.8900
202305240300   -0.9000
202305240310   -0.9000
202305240320   -0.9000
202305240330   -0.8900
202305240340   -0.8700
202305240350   -0.8500
202305240400   -0.8100
202305240410   -0.7600
202305240420   -0.6700
202305240430   -0.5500
202305240440   -0.4200
202305240450   -0.2800
202305240500   -0.1400
202305240510   -0.0100
202305240520   0.1000
202305240530   0.2100
202305240540   0.3000
202305240550   0.3600
202305240600   0.4000
202305240610   0.4300
202305240620   0.4500
202305240630   0.4800
202305240640   0.4900
202305240650   0.5100
202305240700   0.5000
202305240710   0.5100
202305240720   0.5200
202305240730   0.5400
202305240740   0.5600
202305240750   0.5700
202305240800   0.5800
202305240810   0.6000
202305240820   0.6000
202305240830   0.6200
202305240840   0.6200
202305240850   0.6300
202305240900   0.6200
202305240910   0.6200
202305240920   0.6200
202305240930   0.6200
202305240940   0.6000
202305240950   0.5900
202305241000   0.5600
202305241010   0.5500
202305241020   0.5200
202305241030   0.4800
202305241040   0.4400
202305241050   0.4100
202305241100   0.3600
202305241110   0.2900
202305241120   0.2300
202305241130   0.1600
202305241140   0.0900
202305241150   0.0300
202305241200   -0.0500
202305241210   -0.1200
202305241220   -0.1900
202305241230   -0.2500
202305241240   -0.3100
202305241250   -0.3500
202305241300   -0.4100
202305241310   -0.4600
202305241320   -0.5000
202305241330   -0.5400
202305241340   -0.5700
202305241350   -0.6000
202305241400   -0.6300
202305241410   -0.6400
202305241420   -0.6700
202305241430   -0.6900
202305241440   -0.7000
202305241450   -0.7100
202305241500   -0.7300
202305241510   -0.7500
202305241520   -0.7700
202305241530   -0.7800
202305241540   -0.7800
202305241550   -0.7800
202305241600   -0.7900
202305241610   -0.7700
202305241620   -0.7400
202305241630   -0.7100

