#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Wed May 24 18:57:42 CEST 2023
#------------------------------------------------------
# Location    : Harlingen
# Position    : (5.409777,53.176742)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
202305240000   0.6400
202305240010   0.6100
202305240020   0.5800
202305240030   0.5400
202305240040   0.5000
202305240050   0.4500
202305240100   0.4000
202305240110   0.3500
202305240120   0.3000
202305240130   0.2500
202305240140   0.1900
202305240150   0.1400
202305240200   0.0900
202305240210   0.0400
202305240220   -0.0200
202305240230   -0.0700
202305240240   -0.1200
202305240250   -0.1700
202305240300   -0.2200
202305240310   -0.2700
202305240320   -0.3200
202305240330   -0.3700
202305240340   -0.4200
202305240350   -0.4700
202305240400   -0.5200
202305240410   -0.5800
202305240420   -0.6300
202305240430   -0.6800
202305240440   -0.7300
202305240450   -0.7800
202305240500   -0.8400
202305240510   -0.8900
202305240520   -0.9400
202305240530   -0.9900
202305240540   -1.0400
202305240550   -1.0700
202305240600   -1.1000
202305240610   -1.1200
202305240620   -1.1300
202305240630   -1.1200
202305240640   -1.0700
202305240650   -1.0000
202305240700   -0.8900
202305240710   -0.7900
202305240720   -0.6700
202305240730   -0.5600
202305240740   -0.4500
202305240750   -0.3400
202305240800   -0.2200
202305240810   -0.1000
202305240820   0.0100
202305240830   0.1200
202305240840   0.2200
202305240850   0.3200
202305240900   0.4100
202305240910   0.4900
202305240920   0.5600
202305240930   0.6300
202305240940   0.7000
202305240950   0.7600
202305241000   0.8100
202305241010   0.8600
202305241020   0.9000
202305241030   0.9400
202305241040   0.9700
202305241050   1.0000
202305241100   1.0200
202305241110   1.0200
202305241120   1.0200
202305241130   1.0100
202305241140   1.0000
202305241150   0.9700
202305241200   0.9400
202305241210   0.9100
202305241220   0.8600
202305241230   0.8100
202305241240   0.7600
202305241250   0.7200
202305241300   0.6700
202305241310   0.6100
202305241320   0.5600
202305241330   0.5100
202305241340   0.4500
202305241350   0.3900
202305241400   0.3300
202305241410   0.2800
202305241420   0.2200
202305241430   0.1700
202305241440   0.1200
202305241450   0.0600
202305241500   0.0100
202305241510   -0.0400
202305241520   -0.0900
202305241530   -0.1400
202305241540   -0.1900
202305241550   -0.2400
202305241600   -0.2900
202305241610   -0.3400
202305241620   -0.3900
202305241630   -0.4400

