#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Wed May 24 18:54:33 CEST 2023
#------------------------------------------------------
# Location    : Vlissingen
# Position    : (3.597577,51.443861)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
202305240000   -1.2800
202305240010   -1.1900
202305240020   -1.1000
202305240030   -0.9900
202305240040   -0.8900
202305240050   -0.7800
202305240100   -0.6600
202305240110   -0.5300
202305240120   -0.3800
202305240130   -0.2300
202305240140   -0.0600
202305240150   0.1400
202305240200   0.3700
202305240210   0.6200
202305240220   0.8700
202305240230   1.1300
202305240240   1.3500
202305240250   1.5400
202305240300   1.6900
202305240310   1.8000
202305240320   1.8800
202305240330   1.9400
202305240340   1.9600
202305240350   1.9700
202305240400   1.9500
202305240410   1.9300
202305240420   1.8900
202305240430   1.8400
202305240440   1.7800
202305240450   1.7100
202305240500   1.6300
202305240510   1.5400
202305240520   1.4600
202305240530   1.3700
202305240540   1.2800
202305240550   1.1800
202305240600   1.0600
202305240610   0.9300
202305240620   0.8000
202305240630   0.6500
202305240640   0.5000
202305240650   0.3400
202305240700   0.1800
202305240710   0.0200
202305240720   -0.1500
202305240730   -0.3000
202305240740   -0.4500
202305240750   -0.5800
202305240800   -0.7100
202305240810   -0.8400
202305240820   -0.9600
202305240830   -1.0800
202305240840   -1.1900
202305240850   -1.2900
202305240900   -1.3800
202305240910   -1.4600
202305240920   -1.5200
202305240930   -1.5700
202305240940   -1.6000
202305240950   -1.6300
202305241000   -1.6400
202305241010   -1.6300
202305241020   -1.6100
202305241030   -1.5700
202305241040   -1.5100
202305241050   -1.4500
202305241100   -1.3900
202305241110   -1.3300
202305241120   -1.2600
202305241130   -1.2100
202305241140   -1.1400
202305241150   -1.0700
202305241200   -1.0000
202305241210   -0.9400
202305241220   -0.8600
202305241230   -0.7900
202305241240   -0.7000
202305241250   -0.6100
202305241300   -0.5300
202305241310   -0.4400
202305241320   -0.3400
202305241330   -0.2400
202305241340   -0.1200
202305241350   0.0100
202305241400   0.1500
202305241410   0.3100
202305241420   0.5000
202305241430   0.6900
202305241440   0.9100
202305241450   1.1200
202305241500   1.3200
202305241510   1.4900
202305241520   1.6300
202305241530   1.7400
202305241540   1.8300
202305241550   1.8800
202305241600   1.9000
202305241610   1.8900
202305241620   1.8700
202305241630   1.8300

